place/bounding_box/coordinates/0/0/0,place/bounding_box/coordinates/0/0/1,place/bounding_box/coordinates/0/1/0,place/bounding_box/coordinates/0/1/1,place/bounding_box/coordinates/0/3/0,place/bounding_box/coordinates/0/3/1,place/bounding_box/coordinates/0/4/0,place/bounding_box/type,place/country_code,place/full_name,place/name,place/place_type,,createdAt,,place/bounding_box/coordinates/0/2/1,place/bounding_box/coordinates/0/4/1,place/id,,,place/bounding_box/coordinates/0/2/0,place/country
-122.452708,40.456935,-122.452708,40.651054,-122.267398,40.456935,-122.452708,,US,"Redding, CA",Redding,city,,2024-07-26 14:25:09+00:00,,40.651054,40.456935,7d51c8dfbb08a9de,,,-122.267398,United States
-122.9343743,44.5080287,-122.9343743,44.5611626,-122.8766753,44.5080287,-122.9343743,,US,"Lebanon, OR",Lebanon,city,,2024-07-26 19:14:49+00:00,,44.5611626,44.5080287,a12170d40e438f19,,,-122.8766753,United States
-122.9343743,44.5080287,-122.9343743,44.5611626,-122.8766753,44.5080287,-122.9343743,,US,"Lebanon, OR",Lebanon,city,,2024-07-26 19:52:53+00:00,,44.5611626,44.5080287,a12170d40e438f19,,,-122.8766753,United States
-124.482003,32.528832,-124.482003,42.009519,-114.131212,32.528832,-124.482003,,US,"California, USA",California,admin,,2024-07-26 20:32:10+00:00,,42.009519,32.528832,fbd6d2f5a4e4a15e,,,-114.131212,United States
-122.9343743,44.5080287,-122.9343743,44.5611626,-122.8766753,44.5080287,-122.9343743,,US,"Lebanon, OR",Lebanon,city,,2024-07-26 22:15:56+00:00,,44.5611626,44.5080287,a12170d40e438f19,,,-122.8766753,United States
-122.9343743,44.5080287,-122.9343743,44.5611626,-122.8766753,44.5080287,-122.9343743,,US,"Lebanon, OR",Lebanon,city,,2024-07-27 00:13:47+00:00,,44.5611626,44.5080287,a12170d40e438f19,,,-122.8766753,United States
-117.282538,32.53962,-117.282538,33.0804044,-116.9274403,32.53962,-117.282538,,US,"San Diego, CA",San Diego,city,,2024-07-27 00:50:50+00:00,,33.0804044,32.53962,a592bd6ceb1319f7,,,-116.9274403,United States
-121.260264,38.621443,-121.260264,38.7143308,-121.085432,38.621443,-121.260264,,US,"Folsom, CA",Folsom,city,,2024-07-27 03:57:12+00:00,,38.7143308,38.621443,8eccead85cc1b6c0,,,-121.085432,United States
-115.1581427,35.917793,-115.1581427,36.094719,-114.918531,35.917793,-115.1581427,,US,"Henderson, NV",Henderson,city,,2024-07-27 10:46:12+00:00,,36.094719,35.917793,0e2242eb8691df96,,,-114.918531,United States
-124.482003,32.528832,-124.482003,42.009519,-114.131212,32.528832,-124.482003,,US,"California, USA",California,admin,,2024-07-27 15:20:47+00:00,,42.009519,32.528832,fbd6d2f5a4e4a15e,,,-114.131212,United States
-82.762703,27.807938,-82.762703,27.837259,-82.722462,27.807938,-82.762703,,US,"West Lealman, FL",West Lealman,city,,2024-07-27 15:57:37+00:00,,27.837259,27.807938,003e43101ee277ad,,,-82.722462,United States
-124.482003,32.528832,-124.482003,42.009519,-114.131212,32.528832,-124.482003,,US,"California, USA",California,admin,,2024-07-27 18:45:52+00:00,,42.009519,32.528832,fbd6d2f5a4e4a15e,,,-114.131212,United States
-124.482003,32.528832,-124.482003,42.009519,-114.131212,32.528832,-124.482003,,US,"California, USA",California,admin,,2024-07-27 20:19:37+00:00,,42.009519,32.528832,fbd6d2f5a4e4a15e,,,-114.131212,United States
-117.2875328,34.413411,-117.2875328,34.5718427,-117.103437,34.413411,-117.2875328,,US,"Apple Valley, CA",Apple Valley,city,,2024-07-27 20:22:56+00:00,,34.5718427,34.413411,41c331abe42d9969,,,-117.103437,United States
-118.4019312,33.814689,-118.4019312,33.8946492,-118.352695,33.814689,-118.4019312,,US,"Redondo Beach, CA",Redondo Beach,city,,2024-07-27 21:36:59+00:00,,33.8946492,33.814689,e1e35d357ceefa52,,,-118.352695,United States
-122.9343743,44.5080287,-122.9343743,44.5611626,-122.8766753,44.5080287,-122.9343743,,US,"Lebanon, OR",Lebanon,city,,2024-07-27 23:58:35+00:00,,44.5611626,44.5080287,a12170d40e438f19,,,-122.8766753,United States
-73.848875,43.020588,-73.848875,43.11327,-73.684637,43.020588,-73.848875,,US,"Saratoga Springs, NY",Saratoga Springs,city,,2024-07-28 01:07:41+00:00,,43.11327,43.020588,d606af411edd5297,,,-73.684637,United States
-124.482003,32.528832,-124.482003,42.009519,-114.131212,32.528832,-124.482003,,US,"California, USA",California,admin,,2024-07-28 03:47:14+00:00,,42.009519,32.528832,fbd6d2f5a4e4a15e,,,-114.131212,United States
-121.919174,39.676071,-121.919174,39.818003,-121.748286,39.676071,-121.919174,,US,"Chico, CA",Chico,city,,2024-07-28 04:20:51+00:00,,39.818003,39.676071,9b381228ebd9a499,,,-121.748286,United States
-121.4038418,38.7022707,-121.4038418,38.728927,-121.30897,38.7022707,-121.4038418,,US,"Antelope, CA",Antelope,city,,2024-07-28 04:26:01+00:00,,38.728927,38.7022707,013214de57b4da2e,,,-121.30897,United States
-119.93251,36.648905,-119.93251,36.923179,-119.632419,36.648905,-119.93251,,US,"Fresno, CA",Fresno,city,,2024-07-28 06:45:50+00:00,,36.923179,36.648905,944c03c1d85ef480,,,-119.632419,United States
-122.7900653,45.421863,-122.7900653,45.6509405,-122.471751,45.421863,-122.7900653,,US,"Portland, OR",Portland,city,,2024-07-28 07:33:03+00:00,,45.6509405,45.421863,ac88a4f17a51c7fc,,,-122.471751,United States
-122.9343743,44.5080287,-122.9343743,44.5611626,-122.8766753,44.5080287,-122.9343743,,US,"Lebanon, OR",Lebanon,city,,2024-07-28 08:22:42+00:00,,44.5611626,44.5080287,a12170d40e438f19,,,-122.8766753,United States
-122.9343743,44.5080287,-122.9343743,44.5611626,-122.8766753,44.5080287,-122.9343743,,US,"Lebanon, OR",Lebanon,city,,2024-07-28 08:23:59+00:00,,44.5611626,44.5080287,a12170d40e438f19,,,-122.8766753,United States
-121.620503,39.785231,-121.620503,39.870946,-121.575483,39.785231,-121.620503,,US,"Magalia, CA",Magalia,city,,2024-07-28 11:13:54+00:00,,39.870946,39.785231,0db1376c8826fe8f,,,-121.575483,United States
-117.282538,32.53962,-117.282538,33.0804044,-116.9274403,32.53962,-117.282538,,US,"San Diego, CA",San Diego,city,,2024-07-28 13:14:00+00:00,,33.0804044,32.53962,a592bd6ceb1319f7,,,-116.9274403,United States
-117.282538,32.53962,-117.282538,33.0804044,-116.9274403,32.53962,-117.282538,,US,"San Diego, CA",San Diego,city,,2024-07-28 14:39:08+00:00,,33.0804044,32.53962,a592bd6ceb1319f7,,,-116.9274403,United States
-3.640636998,52.94713131,-3.640636998,55.18887875,-1.909625983,52.94713131,-3.640636998,,GB,"North West, England",North West,admin,,2024-07-28 15:12:08+00:00,,55.18887875,52.94713131,0cbfb5dccb8131b8,,,-1.909625983,United Kingdom
-122.9343743,44.5080287,-122.9343743,44.5611626,-122.8766753,44.5080287,-122.9343743,,US,"Lebanon, OR",Lebanon,city,,2024-07-28 18:09:19+00:00,,44.5611626,44.5080287,a12170d40e438f19,,,-122.8766753,United States
-122.9343743,44.5080287,-122.9343743,44.5611626,-122.8766753,44.5080287,-122.9343743,,US,"Lebanon, OR",Lebanon,city,,2024-07-28 18:09:32+00:00,,44.5611626,44.5080287,a12170d40e438f19,,,-122.8766753,United States
